congressional_district,NAME,state_po,district,candidate,party,total_population,total_households,median_household_income,poverty_rate,district_rural_share,cws_service_area_count,cws_component_count,cws_service_area_sq_km,estimated_cws_service_population,estimated_cws_service_households,estimated_service_area_median_household_income
NJ-10,"Congressional District 10 (119th Congress), New Jersey",NJ,10,LAMONICA MCIVER,DEMOCRAT,777942,290156,72784,16.36223382969313,0,4,32,4.119872869206111,2255,757,248731.05633297106
NJ-07,"Congressional District 7 (119th Congress), New Jersey",NJ,7,"THOMAS H. KEAN, JR.",REPUBLICAN,783203,298635,136541,4.832918406629888,0.24176491599537325,75,417,66.40342305376488,38808,16051,113434.43924791756
MI-03,"Congressional District 3 (119th Congress), Michigan",MI,3,HILLARY J. SCHOLTEN,DEMOCRAT,779539,302621,78245,11.675938191006994,0.09793182806937155,21,132,34.90069052961342,10561,4592,80877.91280373179
MI-06,"Congressional District 6 (119th Congress), Michigan",MI,6,DEBBIE DINGELL,DEMOCRAT,771301,309368,97063,10.140625124915724,0.10359068190393492,24,116,27.18295058440332,9630,3847,102768.17843569
MI-04,"Congressional District 4 (119th Congress), Michigan",MI,4,BILL HUIZENGA,REPUBLICAN,778930,307452,74722,11.808877750515004,0.3046650021345684,87,460,99.6918301543396,34655,13511,74752.04894996523
MI-09,"Congressional District 9 (119th Congress), Michigan",MI,9,LISA C. MCCLAIN,REPUBLICAN,778989,307616,85269,8.810781973450052,0.4457952308734794,108,588,234.8296944344238,66403,27555,78979.6142020255
MN-06,"Congressional District 6 (119th Congress), Minnesota",MN,6,TOM EMMER,REPUBLICAN,734184,268499,104536,6.6920381847815245,0.31246236192353205,57,246,70.99649910584715,25399,9794,95737.68441139233
NJ-12,"Congressional District 12 (119th Congress), New Jersey",NJ,12,BONNIE WATSON COLEMAN,DEMOCRAT,778950,283190,113235,8.978193220263092,0.042448241335874166,8,40,8.906753910247309,7993,3293,148312.5964154308
GA-13,"Congressional District 13 (119th Congress), Georgia",GA,13,DAVID SCOTT,DEMOCRAT,794711,265858,81466,11.689395765410328,0.031464635632719035,9,42,22.44977713298925,7346,2442,66392.74514557155
GA-10,"Congressional District 10 (119th Congress), Georgia",GA,10,MIKE COLLINS,REPUBLICAN,801805,292143,75887,13.39970010530947,0.5068766830530468,146,807,379.2216213885566,37553,14593,70778.64916038299
GA-12,"Congressional District 12 (119th Congress), Georgia",GA,12,RICK W. ALLEN,REPUBLICAN,774597,280601,61779,17.54856926693507,0.43688935470322,214,930,383.87477072815426,52711,20050,61556.08181429304
GA-07,"Congressional District 7 (119th Congress), Georgia",GA,7,RICHARD MCCORMICK,REPUBLICAN,790971,288041,126823,5.9723921688589785,0.1300496842193207,31,150,112.83875963361933,12604,4940,107648.32162064398
GA-11,"Congressional District 11 (119th Congress), Georgia",GA,11,BARRY LOUDERMILK,REPUBLICAN,784112,288817,97878,8.95141925077666,0.16763909256485593,11,42,41.83322599913157,6259,2432,81733.86360326377
GA-14,"Congressional District 14 (119th Congress), Georgia",GA,14,MARJORIE TAYLOR GREENE,REPUBLICAN,782758,280793,79676,10.949631409735979,0.3123415052019644,9,40,89.65312897487442,22115,8380,78463.07278916315
GA-04,"Congressional District 4 (119th Congress), Georgia",GA,4,"HENRY C. \""HANK\"" JOHNSON, JR.",DEMOCRAT,765448,281523,71556,14.587094797443102,0.0015768131391514734,2,11,0.40225515665661143,432,150,59297.148744227685
GA-08,"Congressional District 8 (119th Congress), Georgia",GA,8,AUSTIN SCOTT,REPUBLICAN,774685,288020,61494,17.93578759518407,0.5114811981404107,196,864,369.42474509025635,55959,20294,55760.69975316652
GA-09,"Congressional District 9 (119th Congress), Georgia",GA,9,ANDREW S. CLYDE,REPUBLICAN,800737,279636,82224,11.112862847908701,0.37047995902868647,76,409,237.6322702817613,18592,6988,66245.58252142947
GA-06,"Congressional District 6 (119th Congress), Georgia",GA,6,LUCY MCBATH,DEMOCRAT,778880,319587,89755,11.007946238728602,0.016601314712168018,6,32,33.657113502082346,22220,7520,78770.45733294367
MN-01,"Congressional District 1 (119th Congress), Minnesota",MN,1,BRAD FINSTAD,REPUBLICAN,715713,288800,79637,10.088911749577486,0.4218916255328932,180,733,372.8671480678896,68335,28039,81413.11252041
MI-02,"Congressional District 2 (119th Congress), Michigan",MI,2,JOHN R. MOOLENAAR,REPUBLICAN,784314,301997,67585,12.888541729889774,0.7436727722146393,152,928,264.84125771196074,60169,23999,67249.01611346548
NJ-04,"Congressional District 4 (119th Congress), New Jersey",NJ,4,CHRISTOPHER H. SMITH,REPUBLICAN,788486,293624,99155,9.510781898904655,0.039059697452786084,31,169,22.014794792848736,19086,8094,108912.22068523797
MN-05,"Congressional District 5 (119th Congress), Minnesota",MN,5,ILHAN OMAR,DEMOCRAT,707022,311339,83858,13.459700054855594,0,2,7,0.40892547771036264,1386,475,77390.69914457804
MN-04,"Congressional District 4 (119th Congress), Minnesota",MN,4,BETTY MCCOLLUM,DEMOCRAT,705537,283777,89186,10.755443599290729,0.024419219510689896,13,46,8.48853386592927,8855,3184,113226.72537225188
MN-08,"Congressional District 8 (119th Congress), Minnesota",MN,8,PETE STAUBER,REPUBLICAN,722069,298568,75433,11.027153186729151,0.6369813929922096,171,689,233.44501874345957,58822,25074,67978.26730950033
NJ-09,"Congressional District 9 (119th Congress), New Jersey",NJ,9,NELLIE POU,DEMOCRAT,767600,275692,88416,12.68867348907029,9.069789438359768e-5,3,17,0.041585187059647,8,3,126160.99999999999
MI-08,"Congressional District 8 (119th Congress), Michigan",MI,8,KRISTEN MCDONALD RIVET,DEMOCRAT,770294,321860,63195,15.83165777067213,0.2503017168495469,53,216,185.24936666336714,45378,19207,72306.5814140319
MI-07,"Congressional District 7 (119th Congress), Michigan",MI,7,TOM BARRETT,REPUBLICAN,778561,314097,80357,10.671282877932445,0.3129315837398206,90,529,124.9314034474937,50319,19822,89283.70827525585
GA-01,"Congressional District 1 (119th Congress), Georgia",GA,1,"EARL L. \""BUDDY\"" CARTER",REPUBLICAN,787122,300967,68956,14.739529998687146,0.30746844681426083,284,1204,512.3511628726758,71165,28498,81264.85008615004
GA-05,"Congressional District 5 (119th Congress), Georgia",GA,5,NIKEMA WILLIAMS,DEMOCRAT,764559,326992,76330,16.850307729658773,0,2,16,0.010738671537566125,0,0,NA
NJ-02,"Congressional District 2 (119th Congress), New Jersey",NJ,2,JEFFERSON VAN DREW,REPUBLICAN,783815,307097,85261,11.3782260549807,0.21057968391612342,73,390,86.43187027720866,26204,9385,90984.90921168517
MI-01,"Congressional District 1 (119th Congress), Michigan",MI,1,JACK BERGMAN,REPUBLICAN,783000,343197,64546,12.579684724367558,0.6560361996553397,261,1583,575.2350491275749,96940,44490,62844.25747301239
MI-10,"Congressional District 10 (119th Congress), Michigan",MI,10,JOHN JAMES,REPUBLICAN,771566,320843,76410,10.727486581145756,7.724015767290854e-6,3,20,0.27556448603862005,324,137,121033.57993146993
MI-11,"Congressional District 11 (119th Congress), Michigan",MI,11,HALEY M. STEVENS,DEMOCRAT,775896,331683,93271,8.814919434999032,0.003475888601380299,21,92,34.13743708729967,29151,12596,111316.94080800308
MI-12,"Congressional District 12 (119th Congress), Michigan",MI,12,RASHIDA TLAIB,DEMOCRAT,761609,301271,59614,20.51332641235606,0,2,4,3.8929107232576894,1640,591,195121.96235628892
