congressional_district,pwsid,pws_name,primacy_agency_code,population_served_count,service_connections_count,primary_source_code,owner_type_code,active_component_count,active_component_types,violation_count,unresolved_violation_count,health_based_violation_count,corrective_action_count,enforcement_action_count,site_inspection_count,latest_site_inspection_date,latitude,longitude
NJ-03,NJ0435003,WATERFORD TOWNSHIP WATER DEPT.,NJ,1184,1021,GW,L,11,Consecutive Connection (6); Distribution System/Zone (1); Sampling Station (1); Well (2); Treatment Plant (1),35,1,1,0,34,14,2025-07-25,39.767604,-74.889593
NJ-03,NJ0301001,BUTTONWOOD MOBILE HOME PARK,NJ,55,24,GW,P,2,Well (1); Distribution System/Zone (1),109,2,37,0,172,16,2023-04-19,NA,NA
NJ-03,NJ0332002,OAKVIEW LEISURE VILLAGE,NJ,250,99,GW,P,5,Well (2); Treatment Plant (1); Sampling Station (1); Distribution System/Zone (1),132,11,1,0,56,15,2023-11-09,NA,NA
NJ-03,NJ0332001,FAWN LAKE VILLAGE,NJ,300,110,GW,P,6,Well (2); Sampling Station (1); Treatment Plant (2); Distribution System/Zone (1),21,9,0,0,43,17,2025-08-13,NA,NA
NJ-03,NJ1107001,LAWRENCEVILLE SCHOOL,NJ,1200,89,GW,P,7,Well (4); Treatment Plant (1); Sampling Station (1); Distribution System/Zone (1),145,12,1,0,40,18,2024-03-27,NA,NA
NJ-03,NJ1302001,ALLENTOWN WATER DEPT,NJ,2000,662,GW,L,5,Well (2); Treatment Plant (1); Sampling Station (1); Distribution System/Zone (1),12,7,0,0,15,16,2024-03-07,40.2087396,-74.5830856
NJ-03,NJ0329008,PINEFIELD APARTMENTS,NJ,120,96,GW,P,5,Distribution System/Zone (1); Well (2); Sampling Station (1); Treatment Plant (1),13,1,0,0,28,28,2023-12-19,39.9647866,-74.9445003
NJ-03,NJ0329002,HILLTOP MOBILE VILLAGE,NJ,200,149,GW,P,4,Well (1); Treatment Plant (1); Sampling Station (1); Distribution System/Zone (1),68,20,1,0,65,21,2025-12-16,NA,NA
NJ-03,NJ0326009,WAGON WHEEL ESTATES,NJ,86,42,GW,P,4,Well (2); Sampling Station (1); Distribution System/Zone (1),42,13,3,0,57,29,2026-02-18,NA,NA
NJ-03,NJ0326013,MILLSTREAM APTS,NJ,88,88,GW,P,6,Distribution System/Zone (1); Well (3); Treatment Plant (1); Sampling Station (1),6,1,0,0,11,15,2023-12-19,NA,NA
NJ-03,NJ0340002,MAPLEWOOD APARTMENTS,NJ,55,40,GW,P,5,Sampling Station (1); Well (2); Treatment Plant (1); Distribution System/Zone (1),29,0,2,0,26,16,2024-12-17,NA,NA
NJ-03,NJ0307002,ALBERT C WAGNER YOUTH CO,NJ,2500,2,GW,S,5,Well (2); Sampling Station (1); Treatment Plant (1); Distribution System/Zone (1),77,14,0,0,139,29,2025-09-11,NA,NA
NJ-03,NJ0339001,NEW LISBON DEVELOPMENT CTR,NJ,2014,40,GW,S,5,Well (2); Sampling Station (1); Treatment Plant (1); Distribution System/Zone (1),309,156,3,0,140,19,2026-02-13,NA,NA
NJ-03,NJ0320002,ESTAUGH CORP T/A MEDFORD LEAS,NJ,450,53,GW,P,5,Distribution System/Zone (1); Well (2); Sampling Station (1); Treatment Plant (1),22,9,0,0,36,23,2024-12-13,NA,NA
NJ-03,NJ0333004,NJ AMERICAN WATER - VINCENTOWN,NJ,598,240,GW,P,5,Treatment Plant (1); Sampling Station (1); Well (2); Distribution System/Zone (1),9,8,0,0,13,17,2024-08-15,40.0119983,-74.9715417
NJ-03,NJ0335001,"ALLENWOOD ESTATES, LLC",NJ,135,98,GW,P,4,Distribution System/Zone (1); Well (2); Sampling Station (1),8,1,1,0,17,17,2023-09-07,39.855454,-74.7598548
NJ-03,NJ0329001,PEMBERTON TWP WATER - NEW LISBON,NJ,500,61,GW,L,6,Distribution System/Zone (1); Well (2); Treatment Plant (2); Sampling Station (1),24,10,3,0,39,23,2024-09-18,39.97046,-74.675763
NJ-03,NJ0318002,NJ AMERICAN WATER - HOMESTEAD,NJ,2420,1210,GW,P,5,Well (2); Treatment Plant (1); Sampling Station (1); Distribution System/Zone (1),19,17,0,0,26,20,2023-05-17,40.0119983,-74.9715417
NJ-03,NJ0328001,PEMBERTON BOROUGH WATER,NJ,1771,664,GW,L,8,Distribution System/Zone (1); Sampling Station (1); Treatment Plant (3); Well (3),70,59,1,0,47,25,2023-01-23,NA,NA
NJ-03,NJ0314001,FIELDSBORO WATER DEPARTMENT,NJ,650,230,GWP,L,4,Sampling Station (1); Distribution System/Zone (1); Consecutive Connection (2),16,2,3,0,40,24,2023-06-28,40.137606,-74.730481
NJ-03,NJ0340001,WRIGHTSTOWN MUA,NJ,800,265,GW,L,5,Sampling Station (1); Treatment Plant (1); Well (2); Distribution System/Zone (1),22,8,0,0,35,19,2024-03-06,40.0368891,-74.6256415
NJ-03,NJ0329006,NJ AMERICAN WATER - SUNBURY,NJ,888,334,GW,P,4,Distribution System/Zone (1); Sampling Station (1); Well (1); Treatment Plant (1),79,21,1,0,93,15,2024-08-15,40.0119983,-74.9715417
NJ-03,NJ0329009,PEMBERTON TWP WATER DEPT - PEMBERTON HEI,NJ,650,160,GWP,L,2,Distribution System/Zone (1); Consecutive Connection (1),9,1,0,0,20,10,2024-09-18,39.97046,-74.675763
NJ-03,NJ0333002,MOBILE ESTATES OF SOUTHA,NJ,700,337,GW,P,7,Well (3); Treatment Plant (2); Sampling Station (1); Distribution System/Zone (1),12,2,0,0,30,21,2025-10-02,NA,NA
NJ-03,NJ0333003,RICHARDS MOBILE HOME COU,NJ,100,60,GW,P,4,Treatment Plant (1); Sampling Station (1); Well (1); Distribution System/Zone (1),111,59,9,0,158,15,2025-02-27,NA,NA
NJ-03,NJ0311001,FENIMORE TRAILER PARK,NJ,88,56,GW,P,4,Distribution System/Zone (1); Well (2); Sampling Station (1),37,1,1,0,42,26,2023-12-05,39.9834154,-74.7066449
NJ-03,NJ0311002,FENIMORE WOODS MHP,NJ,40,39,GW,P,5,Well (3); Sampling Station (1); Distribution System/Zone (1),24,2,0,0,47,22,2023-12-12,NA,NA
NJ-03,NJ0329005,PINEVIEW TERRACE INCORPORATED,NJ,300,200,GW,P,4,Distribution System/Zone (1); Well (1); Sampling Station (1); Treatment Plant (1),20,9,0,0,37,20,2023-12-07,NA,NA
NJ-03,NJ0326007,SOUTHS MOBILE HOME PARK,NJ,110,52,GW,P,5,Common Headers (1); Well (2); Sampling Station (1); Distribution System/Zone (1),15,11,0,0,20,14,2024-08-14,40.0433661,-75.453811
NJ-03,NJ0326005,CEDAR GROVE APARTMENTS,NJ,96,32,GW,P,5,Well (2); Sampling Station (1); Common Headers (1); Distribution System/Zone (1),12,0,4,0,24,22,2024-04-28,NA,NA
NJ-03,NJ1326004,VEOLIA WATER NEW JERSEY MATCHAPONIX,NJ,0,3,SW,P,9,Intake (1); Distribution System/Zone (1); Consecutive Connection (2); Sampling Station (2); Well (2); Treatment Plant (1),9,3,1,0,22,17,2023-05-10,40.3153131,-74.3621341
NJ-03,NJ1326007,MANALAPAN TWP WD TRACY STATION,NJ,800,256,SWP,L,3,Consecutive Connection (1); Sampling Station (1); Distribution System/Zone (1),17,15,0,0,7,21,2025-08-14,40.3153131,-74.3621341
NJ-03,NJ1330004,ABERDEEN - FRENEAU,NJ,286,110,SWP,L,3,Consecutive Connection (2); Distribution System/Zone (1),31,4,2,0,62,12,2024-09-05,40.4064082,-74.2257352
NJ-03,NJ1312001,ENGLISHTOWN WATER DEPT,NJ,2504,789,SWP,L,6,Sampling Station (1); Well (2); Treatment Plant (1); Consecutive Connection (1); Distribution System/Zone (1),49,8,1,0,46,16,2026-02-26,40.2928811,-74.3601655
NJ-03,NJ0326003,HANOVER EAST APARTMENTS,NJ,96,48,GW,P,5,Distribution System/Zone (1); Sampling Station (1); Well (2); Common Headers (1),33,8,13,0,67,18,2024-04-05,39.8346699,-75.2208521
NJ-03,NJ0326014,BLUEBERRY ESTATES,NJ,75,15,GW,P,5,Sampling Station (1); Well (2); Distribution System/Zone (1); Common Headers (1),42,17,4,0,72,14,2024-04-11,NA,NA
NJ-03,NJ1341001,ROOSEVELT WATER DEPT,NJ,880,302,GW,L,5,Distribution System/Zone (1); Well (2); Sampling Station (1); Treatment Plant (1),29,3,0,0,66,20,2025-08-18,40.2087396,-74.5830856
NJ-03,NJ1332314,MILLSTONE MANOR,NJ,137,1,GW,P,5,Distribution System/Zone (1); Sampling Station (1); Well (2); Treatment Plant (1),16,1,3,0,16,17,2024-10-18,40.2325087,-74.4428375
NJ-03,NJ0326001,AQUA NJ - CALIFORNIA VILLAGE,NJ,300,140,GW,P,8,Treatment Plant (3); Well (3); Sampling Station (1); Distribution System/Zone (1),19,13,2,0,25,17,2025-09-08,40.2059778,-74.6384843
NJ-03,NJ0326004,AQUA NJ - HANOVER MOBILE VILLAGE,NJ,285,145,GW,P,8,Distribution System/Zone (1); Treatment Plant (3); Well (3); Sampling Station (1),21,16,0,0,27,18,2025-09-08,40.2059778,-74.6384843
NJ-03,NJ0326008,AQUA NJ - SPARTAN VILLAGE,NJ,594,214,GW,P,6,Distribution System/Zone (1); Sampling Station (1); Well (2); Treatment Plant (2),176,20,0,0,39,23,2024-05-07,40.2059778,-74.6384843
GA-02,GA0870002,BRINSON,GA,281,104,GW,L,5,Distribution System/Zone (1); Well (2); Treatment Plant (2),32,11,10,0,66,8,2025-08-29,NA,NA
GA-02,GA0950011,HOLLANDS AND HATCHER S/D,GA,51,19,GW,P,3,Distribution System/Zone (1); Well (1); Treatment Plant (1),7,4,1,0,18,5,2025-09-16,NA,NA
GA-02,GA0950065,CREEKSIDE RV PARK,GA,240,90,GW,P,4,Well (2); Treatment Plant (1); Distribution System/Zone (1),15,5,0,0,40,7,2023-10-26,NA,NA
GA-02,GA1310047,SHADY GROVE VILLAGE,GA,62,23,GW,P,5,Well (2); Treatment Plant (1); Storage (1); Distribution System/Zone (1),41,5,0,0,25,7,2025-08-27,NA,NA
GA-02,GA1310049,TEMPLE TERRACE SUBDIVISION,GA,151,58,GW,P,5,Treatment Plant (2); Well (2); Distribution System/Zone (1),21,2,0,0,44,6,2025-10-17,30.8775266,-84.2061719
GA-02,GA2750069,PINE GROVE MHP/WHIPPOORWILL S/D,GA,65,24,GW,P,6,Storage (1); Distribution System/Zone (1); Well (2); Treatment Plant (2),64,5,14,0,60,7,2025-02-27,30.8318662,-83.946454
GA-02,GA2610001,ANDERSONVILLE,GA,338,134,GW,L,4,Consecutive Connection (1); Well (1); Treatment Plant (1); Distribution System/Zone (1),27,7,0,0,60,6,2026-03-25,NA,NA
GA-02,GA2610002,DESOTO,GA,348,130,GW,L,4,Distribution System/Zone (1); Consecutive Connection (1); Well (1); Treatment Plant (1),22,7,0,0,61,7,2023-02-16,NA,NA
GA-02,GA0790012,CRAWFORD CO.-MUSELLA WATER SYSTEM,GA,143,55,GW,P,4,Well (2); Treatment Plant (1); Distribution System/Zone (1),42,27,2,0,88,8,2026-02-06,NA,NA
GA-02,GA0790017,CRAWFORD COUNTY WATER SYSTEM,GA,2392,895,GW,L,5,Distribution System/Zone (1); Well (2); Treatment Plant (2),4,0,0,0,10,9,2023-09-01,NA,NA
GA-02,GA0070000,NEWTON,GA,775,315,GW,L,4,Treatment Plant (1); Well (2); Distribution System/Zone (1),59,24,1,0,115,10,2024-12-18,NA,NA
GA-02,GA0070006,ICHAUWAY #2,GA,59,22,GW,P,4,Treatment Plant (1); Well (2); Distribution System/Zone (1),2,1,0,0,4,6,2024-08-22,31.2200918,-84.4781336
GA-02,GA0270000,BARWICK,GA,626,244,GW,L,4,Distribution System/Zone (1); Well (2); Treatment Plant (1),33,28,1,0,22,6,2025-05-22,NA,NA
GA-02,GA0370000,ARLINGTON,GA,1220,537,GW,L,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),33,14,6,0,82,21,2025-02-04,NA,NA
GA-02,GA0370001,EDISON,GA,1523,581,GW,L,5,Distribution System/Zone (1); Well (2); Treatment Plant (2),34,6,0,0,91,10,2026-01-21,NA,NA
GA-02,GA0370003,MORGAN,GA,316,140,GW,L,6,Distribution System/Zone (1); Consecutive Connection (1); Well (2); Treatment Plant (2),18,4,1,0,44,7,2025-10-21,NA,NA
GA-02,GA0530002,CHATTAHOOCHEE COUNTY,GA,2956,1121,GW,L,9,Treatment Plant (4); Well (4); Distribution System/Zone (1),22,9,0,0,40,12,2025-10-29,32.3077683,-84.7648956
GA-02,GA0610001,FORT GAINES,GA,1399,597,GW,L,5,Distribution System/Zone (1); Well (2); Treatment Plant (2),30,13,6,0,58,10,2024-05-29,NA,NA
GA-02,GA0610029,CLAY COUNTY WATER SYSTEM,GA,1085,373,GW,L,4,Consecutive Connection (1); Distribution System/Zone (1); Treatment Plant (1); Well (1),8,2,2,0,22,6,2023-03-22,31.605025,-85.0474535
GA-02,GA0870004,DECATUR COUNTY INDUSTRIAL PARK,GA,1100,40,GW,L,6,Treatment Plant (2); Well (2); Storage (1); Distribution System/Zone (1),4,2,1,0,17,6,2025-08-13,NA,NA
GA-02,GA0870007,RBE II,GA,124,47,GW,P,4,Distribution System/Zone (1); Well (2); Treatment Plant (1),17,6,6,0,45,7,2024-01-23,NA,NA
GA-02,GA0870030,MEADOWBROOK SUBDIVISION,GA,68,25,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),47,24,4,0,107,10,2025-06-24,NA,NA
GA-02,GA0870055,"RED BLUFF ENTERPRISES, LLC",GA,260,55,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),15,13,4,0,25,6,2022-08-09,NA,NA
GA-02,GA0870061,FEDERATED TRUST SUBDIVISION WATER SYS.,GA,130,48,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),61,36,1,1,70,8,2025-06-24,NA,NA
GA-02,GA0950010,HOLLANDS FOLLY SUBDIVISION  #1,GA,356,132,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),4,2,0,0,10,5,2025-09-16,NA,NA
GA-02,GA1310001,WHIGHAM,GA,945,389,GW,L,5,Well (2); Treatment Plant (2); Distribution System/Zone (1),8,7,0,0,16,5,2021-04-01,NA,NA
GA-02,GA1310022,PINE TERRACE MOBILE HOME PARK,GA,297,110,GW,P,4,Treatment Plant (1); Well (2); Distribution System/Zone (1),528,413,7,0,108,8,2025-10-17,30.8318662,-83.946454
GA-02,GA1310023,MONTERREY PARK,GA,57,22,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),27,17,6,0,68,6,2024-03-12,30.8775266,-84.2061719
GA-02,GA1310046,LEWIS ESTATES SUBDIVISION,GA,97,36,GW,P,3,Distribution System/Zone (1); Well (1); Treatment Plant (1),15,8,1,0,38,6,2025-04-16,NA,NA
GA-02,GA1310048,QUAIL RIDGE SOUTH SUBDIVISION,GA,330,122,GW,P,4,Treatment Plant (1); Well (2); Distribution System/Zone (1),16,4,0,0,39,6,2025-09-04,NA,NA
GA-02,GA1770001,SMITHVILLE,GA,770,289,GW,L,5,Distribution System/Zone (1); Treatment Plant (2); Well (2),27,10,1,0,63,8,2025-10-22,NA,NA
GA-02,GA1770015,LEE STATE PRISON,GA,886,16,GW,S,4,Distribution System/Zone (1); Consecutive Connection (1); Well (1); Treatment Plant (1),19,11,1,0,30,6,2023-05-18,NA,NA
GA-02,GA1770026,NORTH DOUBLEGATE WATER SYSTEM,GA,92,35,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),16,11,0,0,42,6,2022-05-11,31.5751839,-84.1737532
GA-02,GA1970000,BUENA VISTA,GA,1422,591,GW,L,7,Distribution System/Zone (1); Consecutive Connection (1); Well (4); Treatment Plant (1),87,20,19,0,159,16,2025-02-11,NA,NA
GA-02,GA2050002,HINSONTON WATER ASSOCIATION,GA,57,22,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),10,5,2,0,30,7,2021-07-02,NA,NA
GA-02,GA2390001,"BONAPARTE`S RETREAT, INC.",GA,554,205,GW,P,5,Distribution System/Zone (1); Well (3); Treatment Plant (1),10,2,0,0,28,8,2024-12-10,NA,NA
GA-02,GA2390002,CHATTAHOOCHEE PLANTATION ESTS.,GA,472,270,GW,P,6,Well (3); Treatment Plant (2); Distribution System/Zone (1),7,4,0,0,27,6,2023-02-22,NA,NA
GA-02,GA2390003,BCB WATERWORKS,GA,392,145,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),26,10,0,0,55,8,2024-01-18,NA,NA
GA-02,GA2390008,QUITMAN WATER & SEWER AUTH.,GA,1040,386,GW,L,4,Distribution System/Zone (1); Consecutive Connection (1); Treatment Plant (1); Well (1),14,4,0,0,30,6,2025-09-24,NA,NA
GA-02,GA2430000,CUTHBERT,GA,2835,1150,GW,L,9,Treatment Plant (4); Well (4); Distribution System/Zone (1),22,11,5,0,56,9,2024-11-14,NA,NA
GA-02,GA2430001,SHELLMAN,GA,1080,392,GW,L,5,Distribution System/Zone (1); Well (2); Treatment Plant (2),41,11,4,0,84,13,2025-05-13,NA,NA
GA-02,GA2430003,RANDOLPH COUNTY WATER AUTHORITY,GA,221,82,GW,L,5,Treatment Plant (2); Well (2); Distribution System/Zone (1),29,15,3,0,78,7,2023-03-21,NA,NA
GA-02,GA2490004,SCHLEY COUNTY WATER SYSTEM,GA,1763,664,GW,L,5,Distribution System/Zone (1); Treatment Plant (2); Well (2),6,1,0,0,17,9,2024-03-22,NA,NA
GA-02,GA2530004,PARADISE ACRES SUBDIVISION,GA,192,71,GW,P,5,Well (2); Treatment Plant (2); Distribution System/Zone (1),43,15,2,0,97,10,2025-05-13,NA,NA
GA-02,GA2530005,RIVERSIDE ACRES SUBDIVISION,GA,159,59,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),51,15,1,0,103,8,2024-02-20,NA,NA
GA-02,GA2530007,HOLLY ISLES,GA,572,220,GW,P,11,Distribution System/Zone (1); Treatment Plant (5); Well (5),10,4,0,0,25,6,2024-09-24,NA,NA
GA-02,GA2590000,LUMPKIN,GA,1434,537,GW,L,6,Treatment Plant (2); Well (2); Distribution System/Zone (1); Consecutive Connection (1),36,5,1,0,76,10,2026-03-10,NA,NA
GA-02,GA2590001,CITY OF OMAHA,GA,224,85,GW,L,3,Distribution System/Zone (1); Well (1); Treatment Plant (1),31,7,2,0,74,4,2023-03-08,NA,NA
GA-02,GA2590002,RICHLAND,GA,1450,566,GW,L,7,Treatment Plant (2); Well (4); Distribution System/Zone (1),59,28,5,0,129,6,2025-06-27,32.0895241,-84.6651547
GA-02,GA2590010,LOUVALE COMMUNITY,GA,392,145,GW,L,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),35,10,3,0,80,6,2026-03-10,NA,NA
GA-02,GA2590012,BROOKLYN WATER SYSTEM,GA,2462,210,GW,L,12,Well (5); Treatment Plant (5); Consecutive Connection (1); Distribution System/Zone (1),39,10,0,0,71,6,2023-05-08,NA,NA
GA-02,GA2750003,OCHLOCKNEE,GA,905,340,GW,L,4,Treatment Plant (1); Well (2); Distribution System/Zone (1),8,4,1,0,29,7,2025-01-29,NA,NA
GA-02,GA2750018,SUGARWOOD ESTATES MHP,GA,152,56,GW,P,5,Distribution System/Zone (1); Well (2); Treatment Plant (2),29,21,2,0,43,7,2026-02-10,NA,NA
GA-02,GA2750020,HIDDEN ACRES SUBDIVISION,GA,86,32,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),4,2,0,0,11,6,2023-07-18,NA,NA
GA-02,GA2750022,PINE RUN SUBDIVISION,GA,149,56,GW,P,5,Distribution System/Zone (1); Well (2); Treatment Plant (2),42,36,8,0,38,6,2023-07-18,NA,NA
GA-02,GA2750023,LAKE RIVERSIDE SUBDIVISION,GA,726,269,GW,P,5,Distribution System/Zone (1); Treatment Plant (2); Well (2),4,3,0,0,13,5,2023-01-19,NA,NA
GA-02,GA2750024,RIVERWOOD ESTATES,GA,103,38,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),3,2,0,0,7,5,2021-09-16,NA,NA
GA-02,GA2750027,LAKE LILLIQUIN S/D,GA,113,42,GW,P,4,Distribution System/Zone (1); Well (2); Treatment Plant (1),4,2,0,0,12,6,2023-11-07,NA,NA
GA-02,GA2750048,SUNNYBELLE ACRES,GA,54,20,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),10,2,0,0,39,7,2023-11-07,NA,NA
GA-02,GA2750055,HOLLY SPRINGS SUBDIVISION,GA,157,58,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),3,1,0,0,8,5,2023-07-12,NA,NA
GA-02,GA2750059,SANFORD HEIGHTS SUBDIVISION,GA,181,67,GW,P,5,Distribution System/Zone (1); Treatment Plant (2); Well (2),34,29,3,0,29,6,2024-07-30,NA,NA
GA-02,GA2750063,PECAN VILLAGE/OAK HILL MHP,GA,224,83,GW,P,7,Distribution System/Zone (1); Well (3); Treatment Plant (3),5,3,0,0,13,6,2026-02-10,NA,NA
GA-02,GA2750070,HUNTER`S COVE SUBDIVISION,GA,167,62,GW,P,5,Well (2); Treatment Plant (1); Distribution System/Zone (1); Storage (1),4,0,0,0,9,5,2022-01-26,NA,NA
GA-02,GA2750073,SUGAR MILL RV PARK,GA,359,137,GW,P,3,Distribution System/Zone (1); Well (1); Treatment Plant (1),6,1,1,0,13,5,2024-07-18,30.8295444,-83.9727443
GA-02,GA2750075,WILLOW RIDGE SUBDIVISION,GA,122,45,GW,P,4,Distribution System/Zone (1); Treatment Plant (1); Well (2),3,0,0,0,6,4,2021-07-22,NA,NA
GA-02,GA2750080,SOUTHERN POINTE SUBDIVISION,GA,76,28,GW,P,4,Well (2); Treatment Plant (1); Distribution System/Zone (1),2,0,0,0,3,4,2022-11-18,NA,NA
GA-02,GA2050036,BOYNTON GROVE MHP,GA,46,17,GW,P,3,Distribution System/Zone (1); Well (1); Treatment Plant (1),6,2,2,0,14,5,2021-08-06,NA,NA
GA-02,GA0930000,BYROMVILLE,GA,465,179,GW,L,4,Distribution System/Zone (1); Treatment Plant (1); Well (2),15,8,3,0,34,9,2025-09-17,NA,NA
GA-02,GA0930001,LILLY,GA,200,78,GW,L,5,Well (2); Treatment Plant (2); Distribution System/Zone (1),22,4,0,0,47,10,2025-02-26,NA,NA
GA-02,GA0930002,PINEHURST,GA,1649,132,GW,L,5,Well (2); Treatment Plant (2); Distribution System/Zone (1),39,27,0,0,44,10,2025-10-27,30.8019568,-81.6161917
GA-02,GA0930004,VIENNA,GA,3018,1254,GW,L,11,Treatment Plant (5); Well (5); Distribution System/Zone (1),11,1,0,0,28,11,2025-03-21,NA,NA
GA-02,GA0930032,DOOLING,GA,127,48,GW,L,4,Distribution System/Zone (1); Treatment Plant (1); Well (2),30,10,2,0,57,10,2025-04-16,NA,NA
GA-02,GA1770003,BIG OAK ESTATES,GA,116,43,GW,P,3,Treatment Plant (1); Well (1); Distribution System/Zone (1),6,5,0,0,14,4,2022-02-03,NA,NA
GA-02,GA1770006,LAKEVIEW MOBILE HOME PARK,GA,86,32,GW,P,3,Well (1); Treatment Plant (1); Distribution System/Zone (1),18,7,0,0,41,6,2023-06-21,NA,NA
GA-02,GA1770022,PHILEMA PARK SUBDIVISION,GA,343,127,GW,P,5,Distribution System/Zone (1); Treatment Plant (2); Well (2),16,6,0,0,32,7,2026-03-19,NA,NA
GA-02,GA1770024,COLONIAL ACRES S/D,GA,51,19,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),5,2,0,0,15,4,2022-02-03,NA,NA
GA-02,GA2610003,LESLIE,GA,427,178,GW,L,4,Distribution System/Zone (1); Well (1); Treatment Plant (1); Consecutive Connection (1),29,8,0,0,76,6,2026-01-28,31.9552887,-84.0873027
GA-02,GA2610011,A B C MOBILE HOME PARK,GA,54,20,GW,P,5,Well (2); Treatment Plant (2); Distribution System/Zone (1),123,87,1,0,106,9,2025-08-13,26.1327527,-80.2172815
GA-02,GA2610012,BRIAR PATCH MOBILE HOME PARK,GA,162,60,GW,P,7,Treatment Plant (3); Well (3); Distribution System/Zone (1),39,10,1,0,64,10,2025-10-17,34.0496366,-84.2228244
GA-02,GA2610045,GRAYSTONE VILLAGE,GA,70,26,GW,P,3,Distribution System/Zone (1); Well (1); Treatment Plant (1),144,67,7,4,215,17,2025-01-30,30.83873,-84.002001
GA-02,GA3210012,WORTHY MANOR SUBDIVISION,GA,400,148,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),11,7,0,0,19,9,2024-02-07,NA,NA
GA-02,GA1450002,SHILOH,GA,504,195,GW,L,5,Well (2); Treatment Plant (2); Distribution System/Zone (1),30,14,1,0,61,12,2026-02-18,NA,NA
GA-02,GA1930000,IDEAL,GA,550,177,GW,L,4,Well (2); Treatment Plant (1); Distribution System/Zone (1),13,3,1,0,34,13,2025-07-30,NA,NA
GA-02,GA2630000,TALBOTTON,GA,1454,383,GW,L,10,Well (4); Treatment Plant (4); Distribution System/Zone (1); Consecutive Connection (1),25,6,3,0,54,9,2024-06-06,NA,NA
GA-02,GA2630001,WOODLAND,GA,529,205,GW,L,4,Treatment Plant (1); Well (1); Distribution System/Zone (1); Consecutive Connection (1),57,35,6,0,113,13,2024-02-23,NA,NA
GA-02,GA2630002,JUNCTION CITY,GA,156,63,GW,L,6,Consecutive Connection (1); Well (2); Treatment Plant (2); Distribution System/Zone (1),63,48,4,0,63,10,2023-10-27,NA,NA
GA-02,GA2630003,GENEVA,GA,248,101,GWP,L,2,Distribution System/Zone (1); Consecutive Connection (1),17,12,2,0,54,10,2023-08-30,NA,NA
GA-02,GA0210012,"MACON MANOR ESTATES, LLC",GA,89,33,GW,P,4,Consecutive Connection (1); Distribution System/Zone (1); Well (1); Treatment Plant (1),35,10,0,0,72,10,2023-09-11,34.0496366,-84.2228244
GA-02,GA0210075,TIMBER RIDGE SUBDIVISION,GA,381,141,GW,P,4,Distribution System/Zone (1); Well (2); Treatment Plant (1),8,3,0,0,18,9,2023-08-01,32.9513929,-83.5797058
GA-02,GA0210078,RUTLAND STATION,GA,103,38,GW,P,4,Well (2); Treatment Plant (1); Distribution System/Zone (1),7,1,0,0,13,9,2023-08-01,32.9513929,-83.5797058
GA-02,GA0790008,CRAWFORD COUNTY ESTATES,GA,167,62,GW,P,4,Distribution System/Zone (1); Consecutive Connection (1); Treatment Plant (1); Well (1),16,6,1,0,39,7,2023-09-01,NA,NA
GA-02,GA2610004,PLAINS,GA,929,356,GW,L,4,Distribution System/Zone (1); Treatment Plant (1); Well (2),31,13,2,0,74,6,2023-04-06,NA,NA
GA-02,GA2610013,KOINONIA-FOREST PARK,GA,84,31,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),127,40,5,2,229,23,2025-10-16,NA,NA
GA-02,GA2610017,KOINONIA VILLAGE,GA,68,25,GW,P,3,Distribution System/Zone (1); Treatment Plant (1); Well (1),124,44,7,4,247,25,2026-02-25,NA,NA
GA-02,GA2610039,SOUTHERN HILLS MHP,GA,130,48,GW,P,3,Distribution System/Zone (1); Well (1); Treatment Plant (1),304,225,8,3,212,18,2025-01-30,30.83873,-84.002001
GA-02,GA2730000,BRONWOOD,GA,529,199,GW,L,5,Well (2); Treatment Plant (2); Distribution System/Zone (1),21,10,1,0,53,6,2024-08-01,NA,NA
GA-02,GA2730002,PARROTT,GA,240,115,GW,L,5,Well (2); Treatment Plant (2); Distribution System/Zone (1),9,4,1,0,18,5,2022-01-26,31.8942788,-84.5080579
GA-02,GA2730003,SASSER,GA,402,172,GW,L,5,Distribution System/Zone (1); Treatment Plant (2); Well (2),12,2,0,0,28,5,2025-02-10,31.7157838,-84.3553824
